current path: saved_models/model_loan_May.02_10.44.30
Loading data
Loading data
Loading data
We use following environment for graphs:  ppdl_experiment
There are 0 adversaries in the training.
model 0 | epoch   1 | internal_epoch   1 |   136/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss 245.62 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |   137/ 4184 batches | lr 0.10 | ms/batch  1.99 | loss  1.16 | ppl     3.18
model 0 | epoch   1 | internal_epoch   1 |   138/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.57 | ppl     4.80
model 0 | epoch   1 | internal_epoch   1 |   139/ 4184 batches | lr 0.10 | ms/batch  1.94 | loss  1.09 | ppl     2.96
model 0 | epoch   1 | internal_epoch   1 |   140/ 4184 batches | lr 0.10 | ms/batch  2.02 | loss  0.96 | ppl     2.60
model 0 | epoch   1 | internal_epoch   1 |   141/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  1.24 | ppl     3.47
model 0 | epoch   1 | internal_epoch   1 |   142/ 4184 batches | lr 0.10 | ms/batch  1.94 | loss  1.22 | ppl     3.37
model 0 | epoch   1 | internal_epoch   1 |   143/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.50 | ppl     4.47
model 0 | epoch   1 | internal_epoch   1 |   144/ 4184 batches | lr 0.10 | ms/batch  1.71 | loss  0.98 | ppl     2.67
model 0 | epoch   1 | internal_epoch   1 |   145/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.04 | ppl     2.83
model 0 | epoch   1 | internal_epoch   1 |   146/ 4184 batches | lr 0.10 | ms/batch  1.90 | loss  1.04 | ppl     2.84
model 0 | epoch   1 | internal_epoch   1 |   147/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.15 | ppl     3.14
model 0 | epoch   1 | internal_epoch   1 |   148/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  1.24 | ppl     3.47
model 0 | epoch   1 | internal_epoch   1 |   149/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.08 | ppl     2.96
model 0 | epoch   1 | internal_epoch   1 |   150/ 4184 batches | lr 0.10 | ms/batch  2.06 | loss 120.81 | ppl    -1.00
model 0 | epoch   1 | internal_epoch   1 |   151/ 4184 batches | lr 0.10 | ms/batch  1.75 | loss  1.04 | ppl     2.82
model 0 | epoch   1 | internal_epoch   1 |   152/ 4184 batches | lr 0.10 | ms/batch  1.70 | loss  0.94 | ppl     2.57
model 0 | epoch   1 | internal_epoch   1 |   153/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  0.99 | ppl     2.70
model 0 | epoch   1 | internal_epoch   1 |   154/ 4184 batches | lr 0.10 | ms/batch  1.81 | loss  0.94 | ppl     2.56
model 0 | epoch   1 | internal_epoch   1 |   155/ 4184 batches | lr 0.10 | ms/batch  1.68 | loss  1.02 | ppl     2.78
model 0 | epoch   1 | internal_epoch   1 |   156/ 4184 batches | lr 0.10 | ms/batch  1.96 | loss  0.99 | ppl     2.69
model 0 | epoch   1 | internal_epoch   1 |   157/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.11 | ppl     3.03
model 0 | epoch   1 | internal_epoch   1 |   158/ 4184 batches | lr 0.10 | ms/batch  2.01 | loss  1.00 | ppl     2.71
model 0 | epoch   1 | internal_epoch   1 |   159/ 4184 batches | lr 0.10 | ms/batch  1.78 | loss  1.26 | ppl     3.53
model 0 | epoch   1 | internal_epoch   1 |   160/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  1.08 | ppl     2.94
model 0 | epoch   1 | internal_epoch   1 |   161/ 4184 batches | lr 0.10 | ms/batch  1.94 | loss  1.20 | ppl     3.32
model 0 | epoch   1 | internal_epoch   1 |   162/ 4184 batches | lr 0.10 | ms/batch  2.11 | loss  0.98 | ppl     2.65
model 0 | epoch   1 | internal_epoch   1 |   163/ 4184 batches | lr 0.10 | ms/batch  1.83 | loss  1.29 | ppl     3.62
model 0 | epoch   1 | internal_epoch   1 |   164/ 4184 batches | lr 0.10 | ms/batch  2.05 | loss  1.36 | ppl     3.90
model 0 | epoch   1 | internal_epoch   1 |   165/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  1.22 | ppl     3.37
model 0 | epoch   1 | internal_epoch   1 |   166/ 4184 batches | lr 0.10 | ms/batch  2.11 | loss  1.14 | ppl     3.13
model 0 | epoch   1 | internal_epoch   1 |   167/ 4184 batches | lr 0.10 | ms/batch  1.83 | loss  0.92 | ppl     2.52
model 0 | epoch   1 | internal_epoch   1 |   168/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  1.00 | ppl     2.72
model 0 | epoch   1 | internal_epoch   1 |   169/ 4184 batches | lr 0.10 | ms/batch  2.07 | loss  1.08 | ppl     2.95
model 0 | epoch   1 | internal_epoch   1 |   170/ 4184 batches | lr 0.10 | ms/batch  2.09 | loss  1.01 | ppl     2.73
model 0 | epoch   1 | internal_epoch   1 |   171/ 4184 batches | lr 0.10 | ms/batch  2.03 | loss  1.04 | ppl     2.83
model 0 | epoch   1 | internal_epoch   1 |   172/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  1.22 | ppl     3.38
model 0 | epoch   1 | internal_epoch   1 |   173/ 4184 batches | lr 0.10 | ms/batch  1.80 | loss  0.97 | ppl     2.64
model 0 | epoch   1 | internal_epoch   1 |   174/ 4184 batches | lr 0.10 | ms/batch  2.09 | loss  1.08 | ppl     2.96
model 0 | epoch   1 | internal_epoch   1 |   175/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  0.93 | ppl     2.53
model 0 | epoch   1 | internal_epoch   1 |   176/ 4184 batches | lr 0.10 | ms/batch  2.04 | loss  1.03 | ppl     2.81
model 0 | epoch   1 | internal_epoch   1 |   177/ 4184 batches | lr 0.10 | ms/batch  2.03 | loss  0.96 | ppl     2.62
model 0 | epoch   1 | internal_epoch   1 |   178/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  1.13 | ppl     3.10
model 0 | epoch   1 | internal_epoch   1 |   179/ 4184 batches | lr 0.10 | ms/batch  1.78 | loss  0.92 | ppl     2.51
model 0 | epoch   1 | internal_epoch   1 |   180/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  1.07 | ppl     2.91
model 0 | epoch   1 | internal_epoch   1 |   181/ 4184 batches | lr 0.10 | ms/batch  1.92 | loss  0.97 | ppl     2.65
model 0 | epoch   1 | internal_epoch   1 |   182/ 4184 batches | lr 0.10 | ms/batch  1.74 | loss  0.91 | ppl     2.47
model 0 | epoch   1 | internal_epoch   1 |   183/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  1.43 | ppl     4.19
model 0 | epoch   1 | internal_epoch   1 |   184/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  0.98 | ppl     2.66
model 0 | epoch   1 | internal_epoch   1 |   185/ 4184 batches | lr 0.10 | ms/batch  2.10 | loss  1.04 | ppl     2.84
model 0 | epoch   1 | internal_epoch   1 |   186/ 4184 batches | lr 0.10 | ms/batch  1.75 | loss  1.26 | ppl     3.52
model 0 | epoch   1 | internal_epoch   1 |   187/ 4184 batches | lr 0.10 | ms/batch  2.00 | loss  1.04 | ppl     2.84
model 0 | epoch   1 | internal_epoch   1 |   188/ 4184 batches | lr 0.10 | ms/batch  2.13 | loss  1.20 | ppl     3.32
model 0 | epoch   1 | internal_epoch   1 |   189/ 4184 batches | lr 0.10 | ms/batch  1.80 | loss  1.12 | ppl     3.06
model 0 | epoch   1 | internal_epoch   1 |   190/ 4184 batches | lr 0.10 | ms/batch  1.79 | loss  1.05 | ppl     2.85
model 0 | epoch   1 | internal_epoch   1 |   191/ 4184 batches | lr 0.10 | ms/batch  1.93 | loss  0.98 | ppl     2.67
model 0 | epoch   1 | internal_epoch   1 |   192/ 4184 batches | lr 0.10 | ms/batch  1.73 | loss  1.05 | ppl     2.86
model 0 | epoch   1 | internal_epoch   1 |   193/ 4184 batches | lr 0.10 | ms/batch  2.05 | loss  0.90 | ppl     2.47
model 0 | epoch   1 | internal_epoch   1 |   194/ 4184 batches | lr 0.10 | ms/batch  1.85 | loss  1.15 | ppl     3.15
model 0 | epoch   1 | internal_epoch   1 |   195/ 4184 batches | lr 0.10 | ms/batch  1.95 | loss  0.90 | ppl     2.45
model 0 | epoch   1 | internal_epoch   1 |   196/ 4184 batches | lr 0.10 | ms/batch  1.85 | loss  0.83 | ppl     2.29
model 0 | epoch   1 | internal_epoch   1 |   197/ 4184 batches | lr 0.10 | ms/batch  1.77 | loss  1.11 | ppl     3.03
model 0 | epoch   1 | internal_epoch   1 |   198/ 4184 batches | lr 0.10 | ms/batch  1.72 | loss  0.83 | ppl     2.29
model 0 | epoch   1 | internal_epoch   1 |   199/ 4184 batches | lr 0.10 | ms/batch  1.93 | loss  1.11 | ppl     3.02
model 0 | epoch   1 | internal_epoch   1 |   200/ 4184 batches | lr 0.10 | ms/batch  1.76 | loss  0.89 | ppl     2.45
model 0 | epoch   1 | internal_epoch   1 |   201/ 4184 batches | lr 0.10 | ms/batch  1.66 | loss  1.20 | ppl     3.33
